n, iterative-time, recursive-time
0,83,42
1,83,41
2,42,42
3,42,42
4,41,41
5,41,42
6,42,41
7,42,42
8,42,42
9,83,42
10,42,84
11,41,41
12,84,42
13,42,42
14,41,41
15,83,83
16,83,41
17,83,83
18,83,83
19,83,83
20,83,83
21,83,125
22,125,125
23,42,125
24,41,125
25,125,125
26,125,125
27,125,125
28,125,125
29,125,125
30,125,125
31,83,125
32,83,125
33,166,125
34,167,125
35,166,167
36,125,166
37,125,125
38,167,167
39,166,125
40,208,166
41,167,167
42,208,167
43,209,167
44,167,208
45,166,208
46,209,167
47,208,166
48,208,208
49,209,209
50,209,167
51,208,209
52,208,208
53,208,208
54,208,250
55,250,250
56,208,209
57,250,250
58,250,250
59,208,209
60,250,250
61,208,250
62,250,250
63,250,250
64,250,250
65,250,250
66,292,250
67,291,250
68,250,292
69,292,291
70,250,250
71,250,250
72,292,291
73,292,292
74,292,292
75,291,333
76,292,292
77,292,334
78,334,292
79,333,291
80,375,292
81,291,291
82,334,334
83,333,333
84,334,334
85,333,333
86,333,333
87,375,333
88,333,333
89,375,375
90,375,333
91,375,333
92,334,375
93,333,333
94,375,417
95,375,375
96,375,375
97,375,375
98,334,375
99,375,416
100,375,416
101,417,375
102,417,375
103,417,417
104,375,375
105,375,375
106,417,417
107,417,416
108,416,417
109,375,417
110,417,458
111,458,417
112,417,459
113,458,416
114,458,417
115,458,375
116,459,459
117,416,416
118,458,458
119,458,458
120,459,459
121,458,458
122,500,459
123,459,458
124,500,458
125,458,500
126,500,500
127,500,500
128,500,500
129,500,500
130,500,500
131,500,500
132,500,500
133,542,541
134,542,500
135,500,542
136,542,500
137,541,500
138,542,541
139,541,542
140,541,542
141,541,541
142,541,583
143,542,583
144,541,542
145,542,542
146,583,542
147,500,583
148,541,583
149,542,542
150,541,583
151,584,584
152,584,584
153,583,583
154,583,625
155,625,542
156,583,583
157,584,583
158,584,583
159,625,584
160,625,625
161,625,625
162,625,625
163,667,583
164,584,625
165,625,625
166,541,625
167,625,625
168,625,667
169,625,667
170,667,666
171,666,667
172,583,625
173,667,625
174,625,667
175,667,666
176,667,708
177,667,667
178,667,666
179,709,667
180,666,708
181,709,667
182,708,708
183,708,667
184,709,667
185,666,666
186,708,666
187,709,709
188,709,708
189,708,709
190,708,750
191,750,709
192,750,750
193,750,708
194,750,708
195,750,750
196,750,750
197,750,750
198,750,708
199,750,708
200,750,750
201,792,750
202,791,750
